"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0F860","2020-04-03 00:00:00","2215.000","288.000","0.600","11.000","1.000","785.100","","9.500","-99.000","-99.000","-99.000","16.300","","9.800",""
"CM0170","2020-04-03 00:00:00","106.000","105.000","2.600","19.400","0.990","1006.800","","3.500","-99.000","-99.000","-99.000","24.100","","16.700",""
"C0B020","2020-04-03 00:00:00","86.000","0.000","0.000","19.100","0.930","1008.600","","8.500","-99.000","-99.000","-99.000","19.100","","16.300",""
"C0I390","2020-04-03 00:00:00","1184.000","0.000","0.000","16.200","0.990","890.200","","8.000","-99.000","-99.000","-99.000","20.700","","14.300",""
"C0T9D0","2020-04-03 00:00:00","7.000","0.000","0.000","18.700","0.990","1020.200","","2.500","-99.000","-99.000","-99.000","22.800","","17.500",""
"C0C460","2020-04-03 00:00:00","482.000","0.000","0.000","16.000","0.960","964.900","","12.000","-99.000","-99.000","-99.000","18.200","","13.400",""
"C0AI40","2020-04-03 00:00:00","37.000","29.000","1.400","20.900","0.740","1015.600","","12.000","-99.000","-99.000","-99.000","21.600","","17.300",""
"C0O930","2020-04-03 00:00:00","69.000","0.000","0.100","20.300","1.000","1009.400","","0.000","-99.000","-99.000","-99.000","26.800","","18.400",""
"C0T870","2020-04-03 00:00:00","135.000","0.000","0.000","17.600","0.990","1004.300","","0.500","-99.000","-99.000","-99.000","22.200","","16.200",""
"C0A920","2020-04-03 00:00:00","196.000","79.000","2.600","17.400","0.960","996.500","","20.000","-99.000","-99.000","-99.000","17.600","","15.000",""
"C0A940","2020-04-03 00:00:00","49.000","55.000","1.900","17.700","0.990","1014.900","","18.500","-99.000","-99.000","-99.000","17.900","","15.800",""
"C0S740","2020-04-03 00:00:00","289.000","48.000","1.600","18.100","0.970","988.000","","0.000","-99.000","-99.000","-99.000","22.800","","16.000",""
"C0U980","2020-04-03 00:00:00","573.000","106.000","1.300","15.600","1.000","955.600","","7.000","-99.000","-99.000","-99.000","16.500","","12.300",""
"C0V250","2020-04-03 00:00:00","298.000","144.000","0.800","20.800","0.950","982.900","","0.000","-99.000","-99.000","-99.000","25.300","","20.000",""
"C0AH70","2020-04-03 00:00:00","34.000","85.000","1.800","19.700","0.770","1015.900","","14.500","-99.000","-99.000","-99.000","21.300","","16.700",""
"C0M760","2020-04-03 00:00:00","40.000","2.000","1.200","20.000","0.880","1013.600","","0.500","-99.000","-99.000","-99.000","23.500","","17.600",""
"C0O950","2020-04-03 00:00:00","4.000","356.000","0.900","21.200","0.910","1016.600","","0.000","-99.000","-99.000","-99.000","23.500","","18.400",""
"C0F9A0","2020-04-03 00:00:00","425.000","99.000","0.800","18.700","0.980","969.500","","12.000","-99.000","-99.000","-99.000","24.400","","16.100",""
"C0A9F0","2020-04-03 00:00:00","35.000","89.000","1.800","20.600","0.800","1015.900","","13.500","-99.000","-99.000","-99.000","21.900","","16.500",""
"C0I460","2020-04-03 00:00:00","110.000","29.000","1.500","20.100","0.910","1005.400","","9.500","-99.000","-99.000","-99.000","23.500","","17.300",""
"C0E420","2020-04-03 00:00:00","19.000","34.000","1.500","18.200","0.880","1015.200","","15.500","-99.000","-99.000","-99.000","20.700","","15.700",""
"C0R190","2020-04-03 00:00:00","32.000","164.000","0.300","22.100","0.970","1013.100","","0.500","-99.000","-99.000","-99.000","27.000","","21.100",""
